en,es,fr,pt,de,ja,gap_score,cluster_id,is_representative,translatability
effects,efectos,effets,efeitos,ergebnisse,効果,0.09810351580381393,-1,True,universal
student,estudiantes,élève,estudantes,studenten,学生,0.09837821125984192,-1,True,universal
sit,sede,siège,sede,sitzen,席,0.09839190542697906,-1,True,universal
left,izquierda,gauche,esquerda,linken,左,0.09846391528844833,-1,True,universal
improve,mejorar,améliorer,melhorar,besser,改善,0.09895577281713486,-1,True,universal
successful,éxito,réussi,sucesso,erfolgreich,成功,0.09914274513721466,-1,True,universal
develop,desarrollo,développer,desenvolvimento,entwickeln,開発,0.09918971359729767,-1,True,universal
room,habitación,chambre,quarto,rum,室,0.09927824139595032,-1,True,universal
winning,ganar,gagné,vitória,gewonnen,勝ち,0.09930333495140076,44,True,universal
russia,rusia,russe,russo,russland,ロシア,0.099489226937294,-1,True,universal
age,edad,âge,idade,jährige,年齢,0.09951980412006378,-1,True,universal
chinese,china,chinois,china,china,中国,0.09998253732919693,-1,True,universal
up,arriba,haut,suas,up,アップ,0.10025010257959366,79,True,easy
might,quizá,pourrait,talvez,vielleicht,可能,0.10039009898900986,34,True,easy
structure,estructura,structure,estrutura,gebäude,構造,0.10063484311103821,-1,True,easy
head,cabeza,tête,cabeça,main,頭,0.10107363015413284,-1,True,easy
minute,minuto,minute,minutos,minute,瞬間,0.1012316420674324,-1,True,easy
sitting,sede,siège,sede,sitzen,席,0.10128279775381088,-1,True,easy
wind,viento,vent,vento,wind,風,0.10158341377973557,-1,True,easy
go,voy,allez,vão,gehen,go,0.10207538306713104,-1,True,easy
material,material,matériel,material,material,物,0.10221440345048904,-1,True,easy
enter,entrar,entrer,entrar,ins,入る,0.10229337960481644,-1,True,easy
i'm,estoy,me,estou,ich,わたし,0.10233300179243088,87,True,easy
vote,voto,vote,voto,stimmen,投票,0.10239497572183609,-1,True,easy
reasons,razones,raisons,motivos,reden,理由,0.10241985321044922,-1,True,easy
global,global,mondiale,global,weltweit,世界,0.10261393338441849,-1,True,easy
future,futuro,futur,futuro,nächste,将来,0.10309631377458572,-1,True,easy
annual,año,année,anos,jährige,年間,0.10316827893257141,-1,True,easy
players,jugadores,joueurs,jogadores,spieler,選手,0.10322058200836182,-1,True,easy
ever,siempre,jamais,sempre,immer,常に,0.10329350084066391,-1,True,easy
billion,millones,milliards,bilhões,milliarden,億,0.1033770963549614,-1,True,easy
google,google,google,google,google,youtube,0.10362350940704346,-1,True,easy
minutes,minutos,minutes,minutos,minuten,瞬間,0.10365740954875946,-1,True,easy
online,online,internet,online,online,ネット,0.10367938876152039,-1,True,easy
while,mientras,tandis,enquanto,während,とき,0.10379762947559357,-1,True,easy
art,arte,art,arte,art,絵,0.10391740500926971,-1,True,easy
sad,triste,triste,triste,traurig,残念,0.10429517179727554,-1,True,easy
story,cuento,histoire,história,geschichte,ストーリー,0.1043064296245575,-1,True,easy
cards,cartas,cartes,cartão,karte,カード,0.1043119728565216,-1,True,easy
meaning,significa,signifie,significa,bedeutet,意味,0.10442952811717987,-1,True,easy
population,población,population,população,bevölkerung,人々,0.10534479469060898,-1,True,easy
entire,toda,entier,inteiro,gesamte,全,0.10545533150434494,75,True,easy
anti,contra,anti,anti,gegen,対,0.10556698590517044,-1,True,easy
hours,horas,heures,horas,stunde,時間,0.10567186027765274,-1,True,easy
season,temporada,saison,temporada,saison,期,0.10567927360534668,-1,True,easy
leaving,dejando,quitte,deixando,verlassen,離れ,0.10573863983154297,-1,True,easy
sir,señor,monsieur,senhor,herr,先生,0.10604306310415268,-1,True,easy
obviously,claramente,clairement,claro,offensichtlich,明らか,0.10631582140922546,-1,True,easy
account,cuenta,compte,conta,zählt,アカウント,0.10639435797929764,16,True,easy
statement,declaración,déclaration,declaração,erklärung,発言,0.106451116502285,-1,True,easy
fresh,recién,nouveau,new,new,新しい,0.10682918131351471,-1,True,easy
via,vía,via,via,durch,によって,0.10738608241081238,-1,True,easy
itself,mismo,mêmes,própria,selbst,自ら,0.1074681431055069,88,True,easy
album,libro,album,álbum,album,アルバム,0.10763747990131378,-1,True,easy
air,aire,air,vento,luft,空気,0.10781171917915344,-1,True,easy
distance,distancia,distance,distância,weit,距離,0.10845068842172623,-1,True,easy
serve,sirve,servir,serve,dienen,サービス,0.10868818312883377,-1,True,easy
employees,empleados,employés,funcionários,mitarbeiter,スタッフ,0.10887037962675095,-1,True,easy
worse,peor,pire,pior,schlimmer,悪く,0.10905563086271286,-1,True,easy
beauty,belleza,beauté,beleza,schöne,美しい,0.10906893759965897,-1,True,easy
festival,festival,festival,festival,feiern,祭,0.1093900054693222,-1,True,easy
common,común,commun,comum,allgemeinen,普通,0.10942699015140533,-1,True,easy
impossible,imposible,impossible,impossível,unmöglich,なかなか,0.1100592091679573,-1,True,easy
impact,impacto,impact,impacto,einfluss,影響,0.110592320561409,-1,True,easy
mail,correo,message,mail,mail,メール,0.11062885820865631,-1,True,easy
hospital,hospital,hôpital,hospital,krankenhaus,病院,0.11069423705339432,-1,True,easy
growth,crecimiento,croissance,crescimento,entwicklung,成長,0.11105567961931229,-1,True,easy
content,contenido,content,conteúdo,enthalten,内容,0.11107785999774933,-1,True,easy
days,días,jours,dias,täglich,日,0.1114906594157219,-1,True,easy
already,deja,déjà,antes,bereits,既に,0.11157990992069244,-1,True,easy
length,larga,longueur,longo,lange,長,0.11184217780828476,-1,True,easy
critical,crítica,critique,crítica,kritik,批判,0.11199520528316498,-1,True,easy
cause,causa,cause,causa,reden,原因,0.11216093599796295,-1,True,easy
camera,cámara,chambre,câmara,kamera,カメラ,0.11233143508434296,-1,True,easy
mine,mío,me,minha,mein,my,0.1124633252620697,-1,True,easy
author,autor,auteur,autor,autor,者,0.11248043179512024,-1,True,easy
somewhere,dónde,où,onde,irgendwo,どこ,0.11266259849071503,-1,True,easy
defense,defensa,défense,defesa,schützen,保護,0.11275100708007812,-1,True,easy
technical,técnico,technique,técnico,technische,技術,0.1128302589058876,-1,True,easy
brother,hermano,frère,irmão,kollegen,兄弟,0.11295321583747864,-1,True,easy
allow,permite,permettre,permite,dürfen,せる,0.11319144815206528,-1,True,easy
drink,tomar,boire,beber,trinken,飲み,0.11371668428182602,-1,True,easy
planning,plan,plan,programação,plan,計画,0.11394284665584564,23,True,easy
like,gusta,comme,gostar,mögen,みたい,0.11407587677240372,46,True,easy
means,significa,signifie,significa,bedeutet,意味,0.11410052329301834,-1,True,easy
vehicle,coche,car,veículos,wagen,車,0.11426427960395813,-1,True,easy
evening,noche,soir,noite,abends,深夜,0.11460650712251663,12,True,easy
co,con,co,com,co,co,0.11478884518146515,-1,True,easy
safe,segura,sûr,segura,sicher,安全,0.11479024589061737,-1,True,easy
official,oficial,officiel,oficial,offiziell,官,0.11504300683736801,-1,True,easy
access,acceso,accès,acesso,erreichen,アクセス,0.1151462271809578,-1,True,easy
including,incluyendo,notamment,incluindo,enthalten,含め,0.11528485268354416,-1,True,easy
staff,empleados,personnel,funcionários,mannschaft,スタッフ,0.1155359074473381,-1,True,easy
managed,gestión,gérer,gestão,verwaltung,管理,0.11605916172266006,-1,True,easy
visit,visita,visite,visita,besuchen,観光,0.11619917303323746,-1,True,easy
day,día,jour,dias,täglich,日,0.11620970070362091,-1,True,easy
half,mitad,moitié,metade,mittel,半,0.11626213043928146,-1,True,easy
accident,accidente,accident,acidente,unfall,事故,0.11667846143245697,-1,True,easy
process,proceso,processus,processo,prozess,処理,0.11717693507671356,-1,True,easy
clear,claro,clair,claro,klar,クリア,0.11730965226888657,-1,True,easy
report,informe,rapport,relatório,melden,報告,0.11734113842248917,-1,True,easy
anyone,cualquiera,quelqu'un,quis,jemand,誰,0.11747033149003983,89,True,easy
local,local,local,local,heimat,地元,0.11756116896867752,-1,True,easy
brand,marca,marque,marca,mark,マーク,0.11767955124378204,-1,True,easy
provide,ofrece,offrir,oferecer,bieten,与える,0.11769134551286697,38,True,easy
commission,comisión,commission,comissão,kommission,委員,0.11779274046421051,-1,True,easy
asked,pidió,demandé,pediu,gefragt,求め,0.11817420274019241,-1,True,easy
institute,instituto,institut,instituto,institut,機関,0.1185331791639328,-1,True,easy
popular,popular,populaire,popular,bekannte,人気,0.11861506849527359,-1,True,easy
sport,deporte,sport,jogos,sport,スポーツ,0.11907107383012772,-1,True,easy
father,padre,père,padre,mama,父,0.11981062591075897,9,True,easy
cold,frío,froid,frio,cool,かい,0.11982002854347229,15,True,easy
crime,crimen,crime,crime,gewalt,犯罪,0.11999545246362686,-1,True,easy
song,canción,chanson,músicas,song,歌,0.12002954632043839,-1,True,easy
longer,larga,long,longa,länger,長く,0.12003917992115021,-1,True,easy
professional,profesional,professionnel,profissional,karriere,プロ,0.1206941306591034,-1,True,easy
sports,deporte,sport,jogos,sport,スポーツ,0.12116476893424988,-1,True,easy
words,palabras,mots,palavras,worte,言葉,0.12118472903966904,-1,True,easy
gift,regalo,cadeau,presentes,prozent,プレゼント,0.12131599336862564,-1,True,easy
stone,piedra,pierre,pedra,kamen,石,0.12148790061473846,-1,True,easy
discovered,encontrado,découvert,encontrado,entdeckt,発見,0.12159702926874161,-1,True,easy
food,comida,manger,comida,essen,食事,0.12170936167240143,-1,True,easy
second,segundo,second,segundo,zweite,二,0.12192492187023163,-1,True,easy
telling,diciendo,disant,dizendo,erzählen,言い,0.1221366822719574,29,True,easy
specific,particular,précise,particular,bestimmte,特定,0.12218416482210159,-1,True,easy
funny,humor,drôle,engraçado,lustig,面白い,0.12226437032222748,-1,True,easy
wonderful,excelente,magnifique,maravilhoso,schön,素晴らしい,0.12251239269971848,78,True,easy
david,david,david,david,david,dvd,0.12278223037719727,-1,True,easy
seeing,viendo,voir,olhar,sehen,観,0.12290987372398376,36,True,easy
airport,aeropuerto,aéroport,aeroporto,flughafen,駅,0.12301748245954514,-1,True,easy
practice,práctica,exercice,prática,praxis,練習,0.12319517135620117,-1,True,easy
books,libros,livres,livros,bücher,書,0.12351278960704803,-1,True,easy
together,juntos,ensemble,juntos,zusammen,一緒,0.12401293218135834,-1,True,easy
york,york,york,york,york,東京,0.12411853671073914,-1,True,easy
worst,peor,pire,pior,schlimmer,悪く,0.12429916113615036,-1,True,easy
quality,calidad,qualité,qualidade,qualität,価値,0.12473699450492859,-1,True,easy
middle,medio,moyen,médio,mittel,中央,0.12495749443769455,43,True,easy
sky,cielo,ciel,céu,himmel,宇宙,0.12498601526021957,-1,True,easy
facebook,facebook,facebook,facebook,facebook,ファン,0.12575006484985352,-1,True,easy
university,universidad,université,universidade,schule,大学,0.1261119842529297,-1,True,easy
yesterday,ayer,lendemain,ontem,gestern,昨日,0.1263897866010666,-1,True,easy
goal,objetivo,objectif,objetivo,zweck,目標,0.12700746953487396,22,True,easy
workers,trabajadores,employés,trabalhadores,mitarbeiter,労働,0.12744922935962677,-1,True,easy
would,sería,ferait,faria,würde,ます,0.1274779587984085,-1,True,easy
missed,perdió,perdu,perdeu,verloren,負け,0.12757936120033264,76,True,easy
football,fútbol,football,futebol,fussball,サッカー,0.1277799755334854,-1,True,easy
tour,visita,tour,viagem,tour,ツアー,0.12778951227664948,-1,True,easy
speed,velocidad,vitesse,velocidade,fast,速,0.12789864838123322,-1,True,easy
bus,coche,bus,ônibus,bus,バス,0.12845464050769806,-1,True,easy
issue,cuestión,issue,questão,problem,問題,0.1284647285938263,-1,True,easy
dangerous,peligro,dangereux,perigo,gefahr,危険,0.12850122153759003,-1,True,easy
sunday,domingo,dimanche,domingo,samstag,週,0.12850366532802582,3,True,easy
wrong,mis,mauvaise,errado,falsch,間違い,0.12855727970600128,-1,True,easy
reason,motivo,raison,motivo,reden,理由,0.12943413853645325,-1,True,easy
pay,pagar,pays,pagar,zahlen,付,0.12950506806373596,-1,True,easy
reports,informe,rapport,relatório,berichtet,報告,0.1298532783985138,-1,True,easy
similar,similar,ressemble,igual,ähnlich,同様,0.130009263753891,-1,True,easy
according,según,selon,conforme,entsprechend,による,0.13015776872634888,-1,True,easy
pain,dolor,pain,dor,traum,痛い,0.1302475780248642,-1,True,easy
direction,dirección,direction,direção,richtung,方向,0.1305176019668579,-1,True,easy
justice,justicia,justice,justiça,recht,正しい,0.13103102147579193,-1,True,easy
materials,materiales,matériel,material,material,物,0.13108865916728973,-1,True,easy
concept,concepto,concept,conceito,konzept,考え,0.1313890665769577,-1,True,easy
passed,pasó,passé,passou,vergangenen,過去,0.13158725202083588,-1,True,easy
houses,casas,maisons,casas,wohnung,家,0.13185907900333405,-1,True,easy
hold,mantener,tient,manter,halten,守る,0.13187560439109802,52,True,easy
birth,origen,naissance,nascimento,geboren,生まれ,0.13200221955776215,-1,True,easy
least,mínimo,minimum,mínimo,mindestens,少ない,0.13217401504516602,-1,True,easy
wood,madera,bois,madeira,strom,木,0.13227806985378265,-1,True,easy
older,mayores,vieux,velho,alten,古い,0.13236813247203827,-1,True,easy
step,pasos,étape,passo,schritt,歩,0.132379949092865,-1,True,easy
birthday,cumpleaños,anniversaire,aniversário,geburtstag,誕生,0.1324412226676941,-1,True,easy
sign,señal,signe,sinal,mark,マーク,0.13279764354228973,-1,True,easy
customers,clientes,clients,clientes,kunden,客,0.1329326629638672,-1,True,easy
reference,referencia,référence,referência,hinweis,参考,0.13299186527729034,-1,True,easy
songs,canciones,chanson,músicas,song,歌,0.13314276933670044,-1,True,easy
mostly,principalmente,plupart,principalmente,hauptsächlich,ほとんど,0.13316066563129425,-1,True,easy
teachers,profesores,professeur,professores,lehrer,師,0.13331833481788635,-1,True,easy
request,demanda,demande,pedir,gefragt,求め,0.1334557980298996,72,True,easy
station,estación,station,estação,halte,駅,0.13412122428417206,-1,True,easy
marriage,matrimonio,mariage,casamento,bruder,結婚,0.13424880802631378,-1,True,easy
read,leer,lire,ler,lesen,読み,0.1342710554599762,-1,True,easy
wedding,matrimonio,mariage,casamento,bruder,結婚,0.13444921374320984,-1,True,easy
highest,máximo,maximum,máximo,top,最高,0.134848490357399,-1,True,easy
prevent,evitar,empêcher,evitar,verhindern,止め,0.13497667014598846,-1,True,easy
hand,manos,arme,mão,hand,手,0.1353251188993454,27,True,easy
six,seis,six,seis,sechs,6,0.1356220245361328,-1,True,easy
edition,edición,édition,edição,version,版,0.13570743799209595,-1,True,easy
animals,animales,animaux,animais,natur,動物,0.13574455678462982,-1,True,easy
heard,escuchar,entendu,ouvi,hört,聞き,0.1358458250761032,-1,True,easy
served,sirve,servir,serve,dienen,サービス,0.13588857650756836,-1,True,easy
follows,siguen,suivi,seguindo,folgt,続い,0.13606317341327667,30,True,easy
dream,sueño,rêve,sonho,wunsch,夢,0.1364264190196991,-1,True,easy
faith,confianza,confiance,fé,glauben,信じ,0.13658203184604645,7,True,easy
legal,legal,droit,legal,sah,法律,0.13665252923965454,-1,True,easy
animal,animal,animaux,animal,natur,動物,0.13670095801353455,-1,True,easy
paper,papel,papier,papel,karte,紙,0.13686467707157135,-1,True,easy
teams,grupos,équipes,equipa,team,チーム,0.13698209822177887,-1,True,easy
couple,pareja,couple,casal,paar,結婚,0.13714949786663055,-1,True,easy
bed,cama,dormir,cama,schlafen,ベッド,0.13722588121891022,-1,True,easy
surprise,sorpresa,surprise,surpresa,überrascht,不思議,0.13722753524780273,-1,True,easy
until,hasta,jusqu'au,até,bisher,まで,0.1372426301240921,-1,True,easy
send,entrega,envoyer,enviar,schicken,送っ,0.13726648688316345,-1,True,easy
road,camino,chemin,estrada,wege,道路,0.13785533607006073,-1,True,easy
if,se,se,se,wenn,もし,0.13787168264389038,-1,True,easy
regular,normal,normal,normal,regelmässig,普段,0.1383848786354065,68,True,easy
reported,informe,rapport,relatório,berichtet,報告,0.13842222094535828,-1,True,easy
drinking,tomando,boire,beber,trinken,飲み,0.13876493275165558,-1,True,easy
book,libro,livres,livro,bücher,書,0.1388108879327774,-1,True,easy
recent,últimas,récemment,recentemente,letzten,最近,0.13898739218711853,-1,True,easy
goes,voy,allez,irá,geht,go,0.13918405771255493,-1,True,easy
gas,gas,gaz,gás,luft,ガス,0.13929526507854462,-1,True,easy
europe,europa,europe,europa,europa,日本,0.1395435929298401,-1,True,easy
century,siglo,siècle,século,jahrhundert,年代,0.13957242667675018,-1,True,easy
rest,vacaciones,reste,férias,rest,休み,0.14006046950817108,-1,True,easy
digital,digital,numérique,digital,online,デジタル,0.1400991827249527,-1,True,easy
code,código,code,código,nummer,コード,0.14038477838039398,-1,True,easy
1st,primera,1er,1º,erste,一番,0.14043226838111877,-1,True,easy
dear,querido,cher,querido,lief,愛し,0.14044901728630066,-1,True,easy
key,clave,clé,chave,main,キー,0.14098411798477173,-1,True,easy
violence,violencia,violence,violência,gewalt,犯罪,0.14113640785217285,-1,True,easy
lower,abajo,moindre,baixa,runter,低い,0.14128462970256805,69,True,easy
steps,pasos,étape,passo,schritt,段階,0.14137718081474304,-1,True,easy
october,octubre,octobre,outubro,oktober,月,0.1414019763469696,4,True,easy
realize,entender,comprendre,perceber,verstehe,意識,0.14146336913108826,-1,True,easy
shown,show,présenté,mostrar,gezeigt,見せ,0.14182014763355255,37,True,easy
killed,muerto,tué,morto,gestorben,殺し,0.1421394646167755,71,True,easy
own,propia,possède,própria,eigenen,自身,0.14246758818626404,-1,True,easy
association,asociación,association,associação,union,団体,0.14313863217830658,-1,True,easy
doctor,doctor,docteur,médico,dr,博士,0.143290713429451,-1,True,easy
meant,significa,signifie,significa,meint,意味,0.14370161294937134,-1,True,easy
present,presente,présent,presente,aktuellen,現在,0.14531315863132477,-1,True,easy
going,voy,allez,irá,geht,行き,0.1453307420015335,-1,True,easy
daughter,niña,fille,filha,mädchen,娘,0.1456601321697235,-1,True,easy
save,salvo,sauver,salvar,sparen,保存,0.14612817764282227,-1,True,easy
island,isla,île,ilha,laut,島,0.1461489051580429,-1,True,easy
avoid,evitar,éviter,evitar,verhindern,逃げ,0.14631392061710358,-1,True,easy
gay,sexual,sexe,gay,sex,セックス,0.14634442329406738,-1,True,easy
morning,temprano,matin,manhã,früh,朝,0.14641761779785156,-1,True,easy
reading,leer,lire,ler,lesen,読み,0.14733533561229706,-1,True,easy
anywhere,dónde,partout,onde,irgendwo,どこ,0.1475871503353119,-1,True,easy
mass,cantidad,masse,massa,masse,量,0.14768140017986298,-1,True,easy
details,detalles,détails,detalhes,informationen,詳細,0.1482725590467453,-1,True,easy
born,creado,naissance,nasceu,geboren,生まれ,0.1483888328075409,-1,True,easy
recently,recién,récemment,recentemente,zuletzt,最近,0.1489582061767578,-1,True,easy
judge,juez,juge,juiz,entscheiden,裁判,0.14897169172763824,-1,True,easy
with,le,avec,ar,mit,で,0.14931686222553253,-1,True,easy
presence,presencia,présence,presença,darstellung,存在,0.1493329554796219,-1,True,easy
mr,señor,monsieur,senhor,herr,先生,0.14936478435993195,-1,True,easy
pair,pareja,couple,casal,paar,お互い,0.1494034081697464,-1,True,easy
allowed,permite,permis,permite,erlaubt,せる,0.15015335381031036,-1,True,easy
again,re,encore,novamente,nochmal,再,0.15017792582511902,-1,True,easy
species,especie,types,espécie,tür,種,0.15026061236858368,-1,True,easy
features,características,fonctions,características,funktion,特徴,0.15035343170166016,-1,True,easy
date,fecha,date,dias,daten,日,0.15037637948989868,-1,True,easy
tree,madera,bois,madeira,strom,木,0.15055924654006958,-1,True,easy
plays,jugar,joue,jogos,spielt,プレイ,0.15063126385211945,58,True,easy
growing,crecimiento,croissance,crescimento,steigt,成長,0.1506834477186203,-1,True,easy
let,dejar,laisser,deixe,lassen,せる,0.15135513246059418,-1,True,easy
foreign,extranjero,étranger,estranho,ausserhalb,外国,0.15165600180625916,-1,True,easy
paying,pago,pays,pagar,zahlen,付,0.15189264714717865,-1,True,easy
artist,artista,artiste,artista,künstler,絵,0.1520794779062271,-1,True,easy
body,cuerpo,corps,corpo,ziel,身体,0.1521802842617035,-1,True,easy
developed,desarrollo,développer,desenvolvimento,entwickelt,開発,0.15228311717510223,-1,True,easy
additional,además,plus,além,extra,加え,0.15229485929012299,80,True,easy
serious,serio,sérieux,sério,ernst,ひどい,0.1529366821050644,-1,True,easy
civil,civil,civile,civil,öffentlichen,国民,0.15326248109340668,-1,True,easy
produced,produce,produire,produção,entstanden,生産,0.15327905118465424,-1,True,easy
there,allí,existe,aí,gibt's,そこ,0.1533878743648529,-1,True,easy
analysis,análisis,analyse,análise,studie,分析,0.15344950556755066,-1,True,easy
case,caso,cas,caso,sache,ケース,0.15377041697502136,-1,True,easy
scene,escena,scène,cenário,situation,シーン,0.15390418469905853,-1,True,easy
how,cómo,combien,como,wie,どう,0.15515963733196259,-1,True,easy
2nd,segunda,second,segunda,zweite,二,0.15542392432689667,-1,True,easy
its,the,lui,it,seinem,it,0.15544955432415009,83,True,easy
heat,calor,chaud,calor,cool,熱,0.15548115968704224,-1,True,easy
soon,pronto,bientôt,pronto,schnell,そろそろ,0.15553243458271027,-1,True,easy
mobile,móvil,téléphone,celular,telefon,携帯,0.15627744793891907,-1,True,easy
voice,sonido,voix,voz,stimme,声,0.15636701881885529,-1,True,easy
london,londres,londres,londres,london,東京,0.1563776284456253,-1,True,easy
becomes,ocurre,devient,ocorre,wird,なる,0.1568147838115692,82,True,easy
insurance,seguro,assurance,seguro,sicherheit,保険,0.1569686084985733,-1,True,easy
excited,feliz,heureux,alegre,freut,嬉しい,0.15697911381721497,-1,True,easy
facts,hechos,faits,facto,tatsache,事実,0.15718893706798553,-1,True,easy
mouth,boca,bouche,boca,gesicht,口,0.15731105208396912,-1,True,easy
committee,comité,comité,comissão,kommission,委員,0.15752270817756653,-1,True,easy
unit,unidad,unité,unidade,einzelne,一体,0.15766865015029907,-1,True,easy
box,caja,boîte,caixa,bin,箱,0.15771335363388062,-1,True,easy
cannot,imposible,impossible,impossível,unmöglich,無い,0.15782412886619568,-1,True,easy
without,ningún,sans,nenhuma,ohne,なく,0.15803466737270355,-1,True,easy
volume,cantidad,volume,volume,masse,量,0.15822313725948334,-1,True,easy
president,presidente,président,presidente,präsident,大統領,0.1582651138305664,-1,True,easy
dog,perro,chien,animais,hund,犬,0.15830160677433014,-1,True,easy
european,europea,européen,europeia,europäische,日本人,0.15877260267734528,-1,True,easy
otherwise,iba,sinon,outra,sonst,別に,0.15897424519062042,-1,True,easy
guy,hombre,garçon,menino,man,男,0.1590128242969513,55,True,easy
court,tribunal,court,tribunal,hof,裁判,0.15970852971076965,-1,True,easy
software,software,programme,software,programm,プログラム,0.1601618230342865,-1,True,easy
authority,autoridad,autorité,autoridade,macht,権,0.16018734872341156,-1,True,easy
amount,cantidad,montant,quantidade,anzahl,量,0.16043566167354584,-1,True,easy
los,los,les,los,los,左,0.16058063507080078,-1,True,easy
party,partido,parties,festa,party,派,0.16076816618442535,-1,True,easy
can't,imposible,impossible,impossível,unmöglich,無い,0.16184774041175842,-1,True,easy
signed,escrito,signé,escrito,geschrieben,書き,0.16248351335525513,-1,True,easy
eye,ojos,œil,olho,sicht,目,0.16267694532871246,-1,True,easy
seriously,serio,sérieux,sério,ernst,しっかり,0.16300614178180695,-1,True,easy
terms,términos,termes,condições,bedingungen,条件,0.1631333827972412,-1,True,easy
hall,sala,salle,sala,halle,室,0.16332115232944489,-1,True,easy
master,maestro,maître,mestre,meister,主,0.16384272277355194,-1,True,easy
pass,pase,passe,passar,vorbei,go,0.1647530049085617,-1,True,easy
eyes,ojos,yeux,olhos,sicht,目,0.1647609919309616,-1,True,easy
guard,guardia,garde,guarda,schützen,守る,0.16487188637256622,-1,True,easy
rich,rico,riche,rico,reich,高い,0.16522012650966644,-1,True,easy
far,lejos,distance,longe,weit,距離,0.1652819663286209,-1,True,easy
grow,crecimiento,croissance,crescer,steigt,成長,0.16532805562019348,-1,True,easy
interview,entrevista,entretien,entrevista,interview,会話,0.16559730470180511,-1,True,easy
method,método,méthode,maneira,stil,方法,0.16665562987327576,-1,True,easy
wonder,sorpresa,surprise,surpresa,wunder,不思議,0.16674846410751343,-1,True,easy
went,fue,allé,saiu,gegangen,go,0.1667514145374298,-1,True,easy
taste,gusto,goût,gosto,bau,味,0.16741257905960083,-1,True,easy
re,re,reprendre,tornar,wieder,再,0.16772280633449554,-1,True,easy
dogs,perros,chien,animais,hund,犬,0.16860908269882202,-1,True,easy
japan,japón,japon,japão,jung,日本,0.1686956137418747,-1,True,easy
either,ambas,soit,vai,entweder,もしくは,0.16876481473445892,53,True,easy
couldn't,imposible,impossible,impossível,unmöglich,まさか,0.16877076029777527,-1,True,easy
current,corriente,actuelle,atual,aktuellen,現在,0.1697368025779724,-1,True,easy
owned,propiedad,possède,possui,besitzt,持つ,0.16977262496948242,-1,True,easy
clean,claro,propres,claro,klar,クリア,0.17053838074207306,-1,True,easy
citizens,ciudadanos,citoyens,habitantes,personen,国民,0.1708291620016098,-1,True,easy
map,carta,carte,mapa,karte,カード,0.1717669665813446,-1,True,easy
college,universidad,collège,faculdade,schule,大学,0.17198710143566132,-1,True,easy
links,relaciones,liens,link,links,リンク,0.17226289212703705,-1,True,easy
sound,sonido,voix,voz,klingt,声,0.17272023856639862,-1,True,easy
medical,medicina,médecin,medicina,legen,医療,0.17277272045612335,-1,True,easy
league,liga,ligue,liga,league,試合,0.1732165813446045,-1,True,easy
village,pueblo,village,município,stadt,村,0.17338725924491882,-1,True,easy
electric,energía,électrique,energia,energie,電気,0.17377914488315582,-1,True,easy
ad,publicidad,annonce,divulgação,werbung,広告,0.17440111935138702,-1,True,easy
way,manera,voie,maneira,wege,道,0.17459578812122345,-1,True,easy
hi,hola,bonjour,oi,hallo,こんにちは,0.17463304102420807,-1,True,easy
parties,partidos,parties,partes,parteien,派,0.17476075887680054,-1,True,easy
modern,moda,moderne,atual,moderne,現代,0.17508205771446228,-1,True,easy
weight,peso,poids,peso,schwere,重,0.17535974085330963,-1,True,easy
rock,piedra,pierre,rock,kamen,石,0.1754636913537979,-1,True,easy
independent,independiente,indépendance,independente,unabhängig,自由,0.1755099892616272,-1,True,easy
character,carácter,caractère,personagem,typen,キャラ,0.17575648427009583,-1,True,easy
hello,hola,bonjour,parabéns,hallo,こんにちは,0.1760532110929489,-1,True,easy
criminal,crimen,crime,crime,böse,犯罪,0.1770346611738205,-1,True,easy
japanese,japón,japon,japão,italien,日本語,0.1771497130393982,-1,True,easy
straight,directa,direct,direto,gerade,正直,0.17733150720596313,-1,True,easy
southern,norte,ouest,norte,norden,南,0.17742690443992615,0,True,easy
paris,parís,paris,paris,paris,パ,0.1775112748146057,-1,True,easy
share,compartir,partage,dele,teilen,参加,0.17780691385269165,-1,True,easy
married,matrimonio,mariage,casar,bruder,結婚,0.1781521886587143,-1,True,easy
even,igual,même,igual,sogar,すら,0.17818281054496765,-1,True,easy
surface,superficie,surface,face,gesicht,面,0.1783701628446579,-1,True,easy
ways,manera,manière,maneira,wege,方法,0.17848484218120575,-1,True,easy
short,corta,bref,curta,kurzen,小さい,0.1787121593952179,-1,True,easy
traditional,tradicional,classique,tradicional,tradition,旧,0.17902469635009766,-1,True,easy
luck,suerte,hasard,sorte,glück,運,0.17921990156173706,-1,True,easy
foot,pasos,pied,pés,schritt,足,0.17935572564601898,-1,True,easy
garden,parque,jardin,jardim,garten,園,0.17941172420978546,-1,True,easy
session,sesión,séance,sessão,sitzen,会議,0.17991596460342407,-1,True,easy
feature,características,fonction,características,funktion,特徴,0.18001008033752441,-1,True,easy
career,carrera,carrière,carreira,karriere,仕事,0.1802148073911667,-1,True,easy
order,orden,ordre,ordem,regel,依頼,0.18029075860977173,-1,True,easy
weird,extraño,bizarre,estranho,wunder,おかしい,0.18043215572834015,-1,True,easy
ill,mal,malade,mal,krank,病,0.1807963103055954,47,True,easy
lord,señor,seigneur,senhor,herren,主,0.1812298595905304,-1,True,easy
largest,máximo,maximum,maior,grösste,最も,0.18166418373584747,-1,True,easy
paid,pago,pays,pagar,bezahlt,付,0.182111456990242,-1,True,easy
